Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ;Base de remboursement ;Montants remboursés;Catégorie d'acte;Sous-catégorie d'acte
AAFA001;AAFA00110;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1;0;ADC;647.32 €;594.89 €;96;68 045.06 €;68 007.06 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA001;AAFA00140;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;4;0;ADA;520.24 €;520.24 €;84;43 559.04 €;43 559.04 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA002;AAFA00210;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1;0;ADC;603.36 €;525.51 €;433;291 775.84 €;291 783.84 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA002;AAFA00240;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;4;0;ADA;335.19 €;335.19 €;403;131 815.56 €;131 797.56 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA003;AAFA00340;Exérèse de lésion du tronc cérébral, par craniotomie;4;0;ADA;498.98 €;498.98 €;7;3 492.86 €;2 993.88 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA003;AAFA00310;Exérèse de lésion du tronc cérébral, par craniotomie;1;0;ADC;947.93 €;813.14 €;8;8 436.98 €;7 237.85 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA005;AAFA00510;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1;0;ADC;676.39 €;655.65 €;5;4 094.56 €;4 094.56 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA005;AAFA00540;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;4;0;ADA;379.85 €;379.85 €;4;1 519.40 €;1 519.40 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA006;AAFA00610;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;2;950.50 €;950.50 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA006;AAFA00640;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;4;0;ADA;301.47 €;301.47 €;2;552.72 €;552.72 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA007;AAFA00740;Excision d'une zone épileptogène, par craniotomie;4;0;ADA;360.12 €;360.12 €;3;774.76 €;774.76 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA007;AAFA00710;Excision d'une zone épileptogène, par craniotomie;1;0;ADC;601.23 €;524.28 €;1;558.36 €;558.36 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA008;AAFA00810;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;1;0;ADC;418.00 €;418.00 €;3;809.56 €;809.56 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAFA008;AAFA00840;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;4;0;ADA;378.45 €;378.45 €;1;189.23 €;189.23 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAGB001;AAGB00110;Ablation d'électrode intracérébrale;1;0;ATM;131.17 €;93.63 €;3;393.51 €;393.51 €;Actes techniques médicaux thérapeutiques;Autres Actes Médicaux Thérapeutiques
AAJA001;AAJA00110;Évacuation de collection intracérébrale, par craniotomie;1;0;ADC;523.24 €;408.82 €;18;8 160.86 €;8 160.86 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA001;AAJA00140;Évacuation de collection intracérébrale, par craniotomie;4;0;ADA;230.76 €;230.76 €;17;3 230.64 €;3 230.64 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA002;AAJA00240;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;4;0;ADA;275.90 €;275.90 €;4;1 126.60 €;1 126.60 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA002;AAJA00210;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;1;0;ADC;305.58 €;282.57 €;5;1 538.48 €;1 538.48 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA003;AAJA00310;Évacuation d'hématome intracérébelleux, par craniotomie;1;0;ADC;418.00 €;418.00 €;6;2 882.06 €;2 353.29 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA003;AAJA00340;Évacuation d'hématome intracérébelleux, par craniotomie;4;0;ADA;357.92 €;357.92 €;6;2 168.56 €;1 810.64 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA004;AAJA00410;Évacuation d'hématome intracérébral non traumatique, par craniotomie;1;0;ADC;283.60 €;269.82 €;14;3 375.18 €;3 357.18 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA004;AAJA00440;Évacuation d'hématome intracérébral non traumatique, par craniotomie;4;0;ADA;286.84 €;286.84 €;9;2 304.30 €;2 304.30 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA005;AAJA00510;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente;1;0;ADC;250.99 €;215.80 €;21;5 277.76 €;5 277.76 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA005;AAJA00540;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente;4;0;ADA;97.51 €;97.51 €;21;1 729.46 €;1 729.46 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA006;AAJA00640;Parage de plaie craniocérébrale;4;0;ADA;241.45 €;241.45 €;4;880.08 €;880.08 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJA006;AAJA00610;Parage de plaie craniocérébrale;1;0;ADC;433.91 €;383.33 €;4;2 275.60 €;2 275.60 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH001;AAJH00110;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique;1;0;ADC;167.20 €;167.20 €;1;105.75 €;105.75 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH002;AAJH00210;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique;1;0;ADC;250.80 €;250.80 €;1;267.10 €;267.10 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH002;AAJH00240;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique;4;0;ADA;231.55 €;231.55 €;1;231.55 €;231.55 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH003;AAJH00310;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique;1;0;ADC;167.20 €;167.20 €;1;105.75 €;105.75 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH003;AAJH00340;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique;4;0;ADA;126.46 €;126.46 €;1;63.23 €;63.23 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH004;AAJH00410;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique;1;0;ADC;250.80 €;250.80 €;2;292.18 €;292.18 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAJH004;AAJH00440;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique;4;0;ADA;231.55 €;231.55 €;2;347.33 €;347.33 €;Actes chirurgicaux;Autres Actes de Chirurgie
AAKA001;AAKA00110;Changement d'un générateur souscutané de stimulation cérébrale;1;0;ADC;104.50 €;104.50 €;7;731.50 €;731.50 €;Actes chirurgicaux;Autres Actes de Chirurgie
AALA002;AALA00210;Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie;1;0;ADC;272.83 €;272.83 €;0;;;Actes techniques médicaux diagnostiques;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil]
AALA004;AALA00410;Implantation souscutanée d'un générateur de stimulation cérébrale;1;0;ADC;104.50 €;104.50 €;1;104.50 €;104.50 €;Actes chirurgicaux;Autres Actes de Chirurgie
AALB001;AALB00110;Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique;1;0;ADC;916.03 €;794.64 €;1;794.64 €;794.64 €;Actes chirurgicaux;Autres Actes de Chirurgie
AALB001;AALB00140;Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique;4;0;ADA;272.87 €;272.87 €;2;545.74 €;545.74 €;Actes chirurgicaux;Autres Actes de Chirurgie
